"kdakun","nmakun"
"423139","Pendapatan Lainnya dari Kegiatan Hulu Migas"
"423141","Pendapatan Sewa Tanah, Gedung, dan Bangunan"
"423142","Pendapatan Sewa Peralatan dan Mesin"
"423143","Pendapatan Sewa Jalan, Irigasi dan Jaringan"
"423144","Pendapatan dari KSP Tanah, Gedung, dan Bangunan"
"423145","Pendapatan dari KSP Peralatan dan Mesin"
"423146","Pendapatan dari KSP Jalan, Irigasi dan Jaringan"
"423147","Pendapatan dari Bangun, Guna, Serah (BGS)"
"423148","Pendapatan dari Bangun, Serah, Guna (BSG)"
"423149","Pendapatan dari Pemanfaatan BMN Lainnya"
"423151","Pendapatan dari Pengelolaan BMN pada Pengelola Barang"
"423152","Pendapatan atas Pengelolaan BMN yang Berasal dari KKKS"
"423153","Pendapatan atas Pengelolaan BMN yang Berasal dari Kontraktor PKP2B"
"423154","Pendapatan atas Pemanfaatan Aset Properti"
"423155","Pendapatan atas Aset Saham dan Surat Berharga Lain"
"423211","Pendapatan Rumah Sakit dan Instansi Kesehatan Lainnya"
"423212","Pendapatan Tempat Hiburan/Taman/ Museum dan Pungutan Usaha Pariwisata Alam (PUPA)"
"423213","Pendapatan Surat Keterangan, Visa, Paspor"
"423214","Pendapatan Hak dan Perijinan"
"423215","Pendapatan Sensor, Karantina, Pengawasan, Pemeriksaan"
"423216","Pendapatan Jasa Tenaga, Pekerjaan, Informasi, Pelatihan dan Teknologi Sesuai Dengan Tugas dan Fungsi Masing-Masing Kementerian Negara/Lembaga"
"423217","Pendapatan Jasa Kantor Urusan Agama"
"423218","Pendapatan Jasa Bandar Udara, Kepelabuhan, dan Kenavigasian"
"423219","Pendapatan Pelayanan Pertanahan"
"423221","Pendapatan Jasa Lembaga Keuangan (Jasa Giro)"
"423222","Pendapatan Jasa Penyelenggaraan Telekomunikasi dan Jasa Penyelenggaraan Penyiaran"
"423223","Pendapatan Iuran Lelang untuk Fakir Miskin"
"423224","Pendapatan Jasa Catatan Sipil"
"423225","Pendapatan Biaya Penagihan Pajak Negara Dengan Surat Paksa"
"423226","Pendapatan Uang Pewarganegaraan"
"423227","Pendapatan Bea Lelang"
"423228","Pendapatan Biaya Pengurusan Piutang dan Lelang Negara"
"423229","Pendapatan Registrasi Dokter dan Dokter Gigi"
"423231","Pendapatan dari Pemberian Surat Perjalanan RI"
"423232","Pendapatan dari Jasa Pengurusan Dokumen Konsuler"
"423233","Pendapatan Jasa Pelayanan pada Kantor Dagang dan Ekonomi Indonesia di Luar Negeri"
"423239","Pendapatan Rutin Lainnya dari Luar Negeri"
"423241","Pendapatan Layanan Jasa Perbankan"
"423242","Pendapatan jasa bank dari penerusan pinjaman"
"423243","Pendapatan biaya lain-lain penerusan pinjaman"
"423251","Pendapatan atas Penertiban SP2D dalam Rangka TSA"
"423252","Pendapatan atas Penempatan Uang Negara Pada Bank Umum"
"423253","Pendapatan dari Pelaksanaan Treasury Notional Pooling"
"423254","Pendapatan atas Penempatan Uang Negara pada Bank Indonesia"
"423255","Pendapatan dari Penempatan Uang sebelum rekonsiliasi"
"423261","Pendapatan Penerbitan Surat Izin Mengemudi (SIM)"
"423262","Pendapatan Surat Tanda Nomor Kendaraan (STNK)"
"423263","Pendapatan Surat Tanda Coba Kendaraan (STCK)"
"423264","Pendapatan Buku Pemilik Kendaraan Bermotor (BPKB)"
"423265","Pendapatan Tanda Nomor Kendaraan Bermotor (TNKB)"
"423266","Pendapatan Uji Keterampilan Pengemudi"
"423267","Pendapatan Penerbitan Surat Ijin Senjata Api dan Bahan Peledak"
"423268","Pendapatan Perpanjangan Surat Izin Mengemudi (SIM)"
"423269","Pendapatan Nomor Registrasi Kendaraan Bermotor Pilihan"
"423271","Pendapatan Jasa Pelayanan Jalan Tol Suramadu"
"423272","Pendapatan yang berasal dari BPJS Kesehatan pada Fasilitas Kesehatan Tingkat Pertama"
"423273","Pendapatan yang berasal dari BPJS Kesehatan pada Fasilitas Kesehatan Tingkat Lanjutan"
"423274","Pendapatan dari penggunaan spektrum dan frekuensi radio"
"423281","Pendapatan Penerbitan Surat Mutasi Kendaraan Ke Luar Daerah"
"423282","Pendapatan Penerbitan Surat Keterangan Catatan Kepolisian"
"423285","Pendapatan Denda Pelanggaran Lalu Lintas"
"423286","Pendapatan Pengamanan Obyek Vital"
"423287","Pendapatan Pelayanan Satuan Pengaman"
"423289","Pendapatan Pelayanan Kepolisian Lainnya"
"423291","Pendapatan Jasa Lainnya"
"423292","Pendapatan Bea Lelang oleh Balai Lelang/ Pejabat Lelang Kelas II"
"423293","Pendapatan Bea Lelang Pegadaian"
"423294","Pendapatan Jasa Siaran"
"423295","Pendapatan Jasa Non Siaran"
"423311","Pendapatan Bunga atas Investasi dalam Obligasi"
"423312","Pendapatan PPA (eks BPPN) atas Bunga Obligasi"
"423313","Pendapatan Bunga dari Piutang dan Penerusan Pinjaman"
"423314","Pendapatan Bunga dari Pemberian Kredit Pemerintah"
"423315","Pendapatan Bunga dari Rekening Pembangunan Hutan"
"423316","Pendapatan komitmen penerusan pinjaman"
"423317","Pendapatan Bunga Kredit Program"
"423319","Pendapatan Bunga Lainnya"
"423321","Pendapatan Gain on Bond Redemption atas Pembelian Kembali Obligasi Negara Jangka Panjang"
"423322","Pendapatan dari Transaksi Security Lending"
"423323","Pendapatan Gain on Bond Redemption atas Pembelian Kembali Obligasi Negara Valas"
"423324","Pendapatan Gain on Bond Redemption atas Pembelian Kembali SBSN Jangka Panjang"
"423325","Pendapatan Gain on Bond Redemption atas Pembelian Kembali SBSN Valas Jangka Panjang"
"423331","Pendapatan Premium Obligasi Negara Dalam Negeri/Rupiah"
"423332","Pendapatan Premium Obligasi Negara Dalam Valuta Asing"
"423333","Pendapatan Premium atas Surat Berharga Syariah Negara (SBSN) Dalam Negeri/ Rupiah"
"423334","Pendapatan Premium atas Surat Berharga Syariah Negara (SBSN) Dalam Valuta Asing"
"423341","Pendapatan atas Transaksi Security Lending SUN"
"423342","Pendapatan lain-lain atas rekening tujuan tertentu"
"423351","Pendapatan Selisih harga SBN"
"423352","Pendapatan Kupon SBN"
"423353","Pendapatan Bunga Reverse Repo"
"423361","Pendapatan Imbal Jasa Penjaminan Infrastruktur"
"423411","Pendapatan Legalisasi Tanda Tangan"
"423412","Pendapatan Pengesahan Surat Dibawah Tangan"
"423413","Pendapatan Uang Meja (Leges) dan Upah Pada Panitera Badan Pengadilan (Peradilan)"
"423414","Pendapatan Hasil Denda dan sebagainya"
"423415","Pendapatan Ongkos Perkara"
"423416","Pendapatan Penjualan Hasil Lelang Tindak Pidana Korupsi"
"423417","Pendapatan Penjualan Hasil Lelang Gratifikasi"
"423419","Pendapatan Kejaksaan dan Peradilan Lainnya"
"423421","Pendapatan Uang Sitaan Tindak Pidana Pencucian Uang yang Telah Ditetapkan Pengadilan"
"423422","Pendapatan Penjualan Hasil Lelang Tindak Pidana Pencucian Uang"
"423511","Pendapatan Uang Pendidikan"
"423512","Pendapatan Uang Ujian Masuk, Kenaikan Tingkat, dan Akhir Pendidikan"
"423513","Pendapatan Uang Ujian untuk Menjalankan Praktek"
"423519","Pendapatan Pendidikan Lainnya"
"423611","Pendapatan Uang Sitaan Hasil Korupsi yang Telah Ditetapkan Pengadilan"
"423612","Pendapatan Gratifikasi yang Ditetapkan KPK Menjadi Milik Negara"
"423613","Pendapatan dari Pengembalian Penyalahgunaan Penyelenggaraan Keuangan"
"423614","Pendapatan Uang Pengganti Tindak Pidana Korupsi Yang Ditetapkan Di Pengadilan"
"423615","Pendapatan Hasil Pengembalian Uang Negara"
"423711","Pendapatan Iuran Badan Usaha dari Kegiatan Usaha Penyediaan dan Pendistribusian BBM"
"423712","Pendapatan Iuran Badan Usaha dari Kegiatan Usaha Pengangkutan Gas Bumi Melalui Pipa"
"423713","Pendapatan Iuran Badan Usaha di Bidang Pasar Modal dan Lembaga Keuangan"
"423721","Pendapatan Dana Pengamanan Hutan"
"423722","Pendapatan Penyelesaian Sengketa Lingkungan hidup Melalui Pengadilan dan di Luar Pengadilan"
"423723","Pendapatan Ganti Rugi Penggantian Tanaman Hasil Reboisasi"
"423731","Pendapatan Iuran Menangkap/Mengambil/ Mengangkut Satwa Liar/ Mengambil/ Mengangkut Tumbuhan Alam Hidup, Termasuk Sarang Burung Walet di Kawasan Konservasi"
"423732","Pendapatan Pungutan  Izin Pengusahaan Pariwisata Alam (PIPPA)"
"423733","Pendapatan Pungutan Izin Pengusahaan Taman Buru (PIPTB)"
"423734","Pendapatan Pungutan Izin Berburu di Taman Buru dan Areal Buru (PIB)"
"423735","Pendapatan Pungutan Masuk Obyek Wisata Alam"
"423736","Pendapatan Iuran Hasil Usaha Pengusahaan Pariwisata Alam (IHUPA)"
"423737","Pendapatan Iuran Hasil Usaha Perburuan di Taman Buru (IHUPTB)"
"423738","Pendapatan Penggantian Nilai Tegakan dan Ganti Rugi Tegakan"
"423739","Pendapatan Pungutan Hasil Usaha Jasa Wisata Alam"
"423741","Pendapatan Penerimaan Dana Kompensasi Pelestarian Sumber Daya Alam Kelautan"
"423751","Pendapatan Denda Pelanggaran Eksploitasi Hutan dan Denda Terkait Kegiatan Pidana"
"423752","Pendapatan Denda Keterlambatan Penyelesaian Pekerjaan Pemerintah"
"423753","Pendapatan Denda Administrasi BPHTB"
"423754","Pendapatan Denda Pelanggaran di Bidang Pasar Modal"
"423755","Pendapatan Denda Pelanggaran di Bidang Persaingan Usaha"
"423756","Pendapatan Denda Pelaksanaan Rekening Pengeluaran Bersaldo Nihil dalam Rangka TSA"
"423757","Pendapatan Denda atas Pelaksanaan Penempatan uang Negara di Bank Umum dan Bank Indonesia"
"423758","Pendapatan Denda atas Pelaksanaan Treasury Notional Pooling"
"423759","Pendapatan Denda Pelaksanaan Rekening Penerimaan Bersaldo Nihil dalam Rangka TSA"
"423761","Pendapatan Denda atas Kekurangan/ Keterlambatan Pelimpahan Saldo BO II ke BO I"
"423762","Pendapatan Denda atas Kekurangan/ Keterlambatan Pembagian PBB oleh BO III PBB"
"423763","Pendapatan Denda atas Keterlambatan Pengembalian Penerusan Pinjaman"
"423764","Pendapatan Denda Penyaluran kredit Program"
"423765","Denda Administrasi bidang Perlindungan Hutan dan Konservasi Alam (PHKA)"
"423766","Pendapatan Denda Administrasi Akuntan Publik dan Kantor Akuntan Publik"
"423767","Pendapatan Denda atas Keterlambatan Penyampaian Laporan oleh debitur Kredit Pemerintah (KUMK)"
"423768","Pendapatan Denda atas Keterlambatan Penyampaian Laporan oleh debitur Penerusan Pinjaman"
"423769","Pendapatan Denda Lainnya"
"423771","Pendapatan Izin Pemanfaatan Kawasan Hutan"
"423772","Pendapatan Iuran Izin Usaha Pemanfaatan Jasa Lingkungan pada Hutan Produksi (IIUPJL)"
"423773","Pendapatan Iuran Izin Usaha Penyedia Jasa Wisata Alam"
"423912","Penerimaan Kembali Belanja Pensiun TAYL"
"423913","Penerimaan Kembali Belanja Lainnya TAYL"
"423915","Penerimaan Kembali Belanja Lainnya Hibah TAYL"
"423921","Pendapatan Penyelesaian Tuntutan Ganti Rugi Non Bendahara"
"423922","Pendapatan Penyelesaian Tuntutan Perbendaharaan"
"423931","Pendapatan dari Penutupan Rekening"
"423941","Pendapatan dari Selisih Kurs dalam pengelolaan Rekening Milik BUN"
"423942","Pendapatan dari Untung Selisih Kurs Uang Persediaan Satker Perwakilan RI"
"423943","Pendapatan dari Untung Selisih Kurs Uang Persediaan"
"423951","Penerimaan Kembali Belanja Pegawai Tahun Anggaran Yang Lalu"
"423952","Penerimaan Kembali Belanja Barang Tahun Anggaran Yang Lalu"
"423953","Penerimaan Kembali Belanja Modal Tahun Anggaran Yang Lalu"
"423954","Penerimaan Kembali Belanja Pembayaran Kewajiban Utang Tahun Anggaran Yang Lalu"
"423955","Penerimaan Kembali Belanja Subsidi Tahun Anggaran Yang Lalu"
"423956","Penerimaan Kembali Belanja Hibah Tahun Anggaran Yang Lalu"
"423957","Penerimaan Kembali Belanja Bantuan Sosial Tahun Anggaran Yang Lalu"
"423958","Penerimaan Kembali Belanja Lain-lain Tahun Anggaran Yang Lalu"
"423959","Penerimaan Kembali Transfer ke Daerah dan Dana Desa Tahun Anggaran Yang Lalu"
"423961","Pendapatan dalam Rangka Refund Dana PHLN"
"423962","Pendapatan dari Retur SP2D"
"423963","Pendapatan Surplus Pungutan Otoritas Jasa Keuangan"
"423964","Pendapatan dari Hibah yang Belum Disahkan"
"423971","Pendapatan Setoran dari Sisa Utang Non TP/TGR Pensiunan PNS"
"423972","Pendapatan Setoran dari Sisa Utang Non TP/TGR Pensiunan Prajurit TNI/PNS Kemhan"
"423973","Pendapatan Setoran dari Sisa Utang Non TP/TGR Pensiunan Anggota Polri/PNS Polri"
"423974","Pendapatan Setoran dari Sisa Utang Non TP/TGR Pensiunan Pejabat Negara"
"423991","Penerimaan Kembali Persekot/Uang Muka Gaji"
"423992","Penerimaan Premi Penjaminan Perbankan Nasional"
"423993","Pendapatan  dari Gerakan Nasional Rehabilitasi Hutan dan Lahan (GNRHL)"
"423994","Pendapatan dari Biaya Pengawasan HET Minyak Tanah"
"423995","Pendapatan Bagian Pemerintah dari Sisa Surplus Bank Indonesia"
"423996","Pendapatan Jasa Perbendaharaan"
"423997","Pendapatan Kelebihan Pelimpahan Pajak/PNBP dari Bank/Pos Persepsi"
"423999","Pendapatan Anggaran Lain-lain"
"424111","Pendapatan Jasa Pelayanan Rumah Sakit"
"424112","Pendapatan Jasa Pelayanan Pendidikan"
"424113","Pendapatan Jasa Pelayanan Tenaga, Pekerjaan, Informasi, Pelatihan dan TeKnologi"
"424114","Pendapatan Jasa Pencetakan"
"424115","Pendapatan Jasa Bandar Udara, Kepelabuhan dan Kenavigasian"
"424116","Pendapatan Jasa Penyelenggaraan Telekomunikasi"
"424117","Pendapatan Jasa Pelayanan Pemasaran"
"424118","Pendapatan Penyediaan Barang"
"424119","Pendapatan Jasa Penyediaan Barang dan Jasa Lainnya"
"424121","Pendapatan Pengelolaan Kawasan Otorita"
"424122","Pendapatan Pengelolaan Kawasan Pengembangan Ekonomi Terpadu"
"424123","Pendapatan Pengelolaan Fasilitas Umum Milik Pemerintah"
"424129","Pendapatan Pengelolaan Kawasan Lainnya"
"424131","Pendapatan Program Dana Penjaminan"
"424132","Pendapatan Program Dana Penjaminan Syariah"
"424133","Pendapatan Program Modal Ventura"
"424134","Pendapatan Program Dana Bergulir Sektoral"
"424135","Pendapatan Program Dana Bergulir Syariah"
"424136","Pendapatan Investasi"
"424137","Pendapatan Pengelolaan Dana Pengembangan Pendidikan Nasional"
"424138","Pendapatan Dana Perkebunan Kelapa Sawit"
"424139","Pendapatan Pengelolaan Dana Khusus Lainnya"
"424140","Pendapatan dari Pengelolaan BMN pada Pengelola Barang"
"424141","Pendapatan dari Pengelolaan BMN pada Pengelola Barang"
"424211","Pendapatan Hibah Terikat Dalam Negeri-Perorangan - Uang"
"424212","Pendapatan Hibah Terikat Dalam Negeri-Lembaga/Badan Usaha - Uang"
"424213","Pendapatan Hibah Terikat Dalam Negeri-Pemda - Uang"
"424214","Pendapatan Hibah Terikat Luar Negeri-Perorangan - Uang"
"424215","Pendapatan Hibah Terikat Luar Negeri-Lembaga/Badan Usaha - Uang"
"424216","Pendapatan Hibah Terikat Luar Negeri-Negara - Uang"
"424219","Pendapatan Hibah Terikat Lainnya - Uang"
"424221","Pendapatan Hibah Tidak Terikat Dalam Negeri-Perorangan - Uang"
"424222","Pendapatan Hibah Tidak Terikat Dalam Negeri-Lembaga/Badan Usaha - Uang"
"424223","Pendapatan Hibah Tidak Terikat Dalam Negeri-Pemda - Uang"
"424224","Pendapatan Hibah Tidak Terikat Luar Negeri-Perorangan - Uang"
"424225","Pendapatan Hibah Tidak Terikat Luar Negeri-Lembaga/Badan Usaha - Uang"
"424226","Pendapatan Hibah Tidak Terikat Luar Negeri-Negara - Uang"
"424229","Pendapatan Hibah Tidak Terikat -Lainnya - Uang"
"424230","Pendapatan Hibah Terikat - Barang / Jasa"
"424231","Pendapatan Hibah Tidak Terikat Dalam Negeri-Perorangan - Barang / Jasa"
"424232","Pendapatan Hibah Tidak Terikat Dalam Negeri-Lembaga/Badan Usaha - Barang / Jasa"
"424233","Pendapatan Hibah Tidak Terikat Dalam Negeri-Pemda - Barang / Jasa"
"424234","Pendapatan Hibah Tidak Terikat Luar Negeri-Perorangan - Barang / Jasa"
"424235","Pendapatan Hibah Tidak Terikat Luar Negeri-Lembaga/Badan Usaha - Barang / Jasa"
"424236","Pendapatan Hibah Tidak Terikat Luar Negeri-Negara - Barang / Jasa"
"424239","Pendapatan Hibah Tidak Terikat -Lainnya - Barang / Jasa"
"424240","Pendapatan Hibah Tidak Terikat - Barang / Jasa"
"424241","Pendapatan Hibah Tidak Terikat Dalam Negeri-Perorangan - Barang / Jasa"
"424311","Pendapatan Hasil Kerjasama Perorangan"
"424312","Pendapatan Hasil Kerja Sama Lembaga/Badan Usaha"
"424313","Pendapatan Hasil Kerja Sama Pemerintah Daerah"
"424411","Pendapatan dari Alokasi APBN"
"424420","Pendapatan dari Pelayanan BLU yang bersumber dari Entitas Pemerintah Pusat"
"424421","Pendapatan dari Pelayanan BLU yang bersumber dari Entitas Pemerintah Pusat dalam Satu Kementerian Negara/Lembaga"
"424422","Pendapatan dari Pelayanan BLU yang Bersumber dari Entitas Pemerintah Pusat di luar Kementerian Negara/Lembaga yang membawahi BLU"
"424911","Pendapatan Jasa Layanan Perbankan BLU"
"424912","Pendapatan Jasa Layanan Perbankan BLU yang dibatasi pengelolaannya"
"424913","Komisi, Potongan, dan/atau Bentuk Lain Sebagai Akibat dari Pengadaan Barang/Jasa oleh BLU"
"424914","Pendapatan Selisih Kurs Terealisasi - BLU"
"424915","Penerimaan Kembali Belanja Barang BLU Tahun Anggaran Yang Lalu"
"424916","Penerimaan Kembali Belanja Modal BLU Tahun Anggaran Yang Lalu"
"424917","Pendapatan Penyelesaian Tuntutan Perbendaharaan / TGR - BLU"
"424919","Pendapatan Lain-lain BLU"
"424920","Pendapatan BLU Lainnya dari Sewa"
"424921","Pendapatan BLU Lainnya dari Sewa Tanah"
"424922","Pendapatan BLU Lainnya dari Sewa Gedung"
"424923","Pendapatan BLU Lainnya dari Sewa Ruangan"
"424924","Pendapatan BLU Lainnya dari Sewa Peralatan dan Mesin"
"424925","Pendapatan BLU Lainnya dari Sewa Aset Tetap Lainnya"
"424929","Pendapatan BLU Lainnya dari Sewa Lainnya"
"424930","Pendapatan BLU Lainnya dari Penjualan BMN BLU"
"424931","Pendapatan BLU Lainnya dari Penjualan Tanah BLU"
"424932","Pendapatan BLU Lainnya dari Penjualan Gedung dan Bangunan BLU"
"424933","Pendapatan BLU Lainnya dari Penjualan Peralatan dan Mesin BLU"
"424934","Pendapatan BLU Lainnya dari Penjualan Aset Tetap Lainnya BLU"
"424939","Pendapatan BLU Lainnya dari Penjualan BMN Lainnya BLU"
"424940","Pendapatan BLU Lainnya dari Tukar Menukar BMN BLU"
"424941","Pendapatan BLU Lainnya dari Tukar Menukar Tanah BLU"
"424942","Pendapatan BLU Lainnya dari Tukar Menukar Gedung dan Bangunan BLU"
"424943","Pendapatan BLU Lainnya dari Tukar Menukar Peralatan dan Mesin BLU"
"424944","Pendapatan BLU Lainnya dari Tukar Menukar Jalan, Irigasi dan Jaringan BLU"
"424945","Pendapatan BLU Lainnya dari Tukar Menukar Aset Tetap Lainnya BLU"
"424949","Pendapatan BLU Lainnya dari Tukar Menukar BMN Lainnya BLU"
"424951","Pendapatan dari Penerimaan Klaim Asuransi BMN BLU"
"425000","PENDAPATAN PAJAK DALAM NEGERI"
"425100","PENDAPATAN DARI PENJUALAN, PENGELOLAAN BMN, DAN IURAN BADAN USAHA"
"425110","Pendapatan Penjualan Hasil Produksi Non Litbang"
"425111","Pendapatan Penjualan Hasil Tambang Batubara"
"425112","Pendapatan Penjualan Hasil Pertanian, Perkebunan, Peternakan dan Budidaya"
"425113","Pendapatan Penjualan Dokumen-dokumen Pelelangan"
"425114","Pendapatan Penjualan Cadangan Beras Pemerintah Dalam Rangka Operasi Pasar Murni"
"425119","Pendapatan Penjualan Hasil Produksi Non Litbang Lainnya"
"425120","Pendapatan dari Pemindahtanganan BMN"
"425121","Pendapatan dari Penjualan Tanah, Gedung, dan Bangunan"
"425122","Pendapatan dari Penjualan Peralatan dan Mesin"
"425123","Pendapatan Kompensasi Sewa Beli Rumah Negara Golongan III"
"425124","Pendapatan dari Tukar Menukar Tanah, Gedung dan Bangunan"
"425125","Pendapatan dari Tukar Menukar Peralatan dan Mesin"
"425126","Pendapatan dari Tukar Menukar Jalan, Irigasi dan Jaringan"
"425129","Pendapatan dari Pemindahtanganan BMN Lainnya"
"425130","Pendapatan dari Pemanfaatan BMN"
"425131","Pendapatan Sewa Tanah, Gedung, dan Bangunan"
"425132","Pendapatan Sewa Peralatan dan Mesin"
"425133","Pendapatan Sewa Jalan, Irigasi dan Jaringan"
"425134","Pendapatan dari KSP Tanah, Gedung, dan Bangunan"
"425135","Pendapatan dari KSP Peralatan dan Mesin"
"425136","Pendapatan dari KSP Jalan, Irigasi, dan Jaringan"
"425137","Pendapatan dari Bangun, Guna, dan Serah (BGS)"
"425138","Pendapatan dari Bangun, Serah, dan Guna (BSG)"
"425139","Pendapatan dari Pemanfaatan BMN Lainnya"
"425140","Pendapatan atas Pengelolaan BMN dan Kekayaan Negara dari Pengelola Barang"
"425141","Pendapatan atas Pengelolaan BMN yang Berasal dari KKKS"
"425142","Pendapatan atas Pengelolaan BMN yang Berasal dari Kontraktor PKP2B"
"425143","Pendapatan atas Pemanfaatan Aset Properti"
"425144","Pendapatan Atas Aset Saham dan Surat Berharga Lain"
"425145","Pendapatan Kompensasi Aset Bekas Milik Asing/Tionghoa"
"425149","Pendapatan atas Pengelolaan BMN dan Kekayaan Negara Lainnyadari Pengelola Barang"
"425150","Pendapatan dari Penggunaan Sarana dan Prasarana sesuai dengan Tusi"
"425151","Pendapatan Penggunaan Sarana dan Prasarana sesuai dengan Tusi"
"425160","Pendapatan Penjualan dari Kegiatan Hulu Migas"
"425161","Pendapatan Bersih Hasil Penjualan Bahan Bakar Minyak"
"425162","Pendapatan Minyak Mentah (DMO)"
"425169","Pendapatan Lainnya dari Kegiatan Hulu Migas"
"425170","Pendapatan Iuran Badan Usaha"
"425171","Pendapatan Iuran Badan Usaha dari Kegiatan Usaha Penyediaan dan Pendistribusian BBM"
"425172","Pendapatan Iuran Badan Usaha dari Kegiatan Usaha Gas Bumi Melalui Pipa"
"425173","Pendapatan dan Penerimaan Klaim Asuransi BMN"
"425200","PENDAPATAN ADMINISTRASI DAN PENEGAKAN HUKUM"
"425210","Pendapatan Pelayanan dan Administrasi Hukum"
"425211","Pendapatan Paspor"
"425212","Pendapatan Visa"
"425213","Pendapatan Izin Keimigrasian dan Izin Masuk Kembali (Re-entry permit)"
"425214","Pendapatan Pelayanan Keimigrasian Lainnya"
"425215","Pendapatan Pelayanan Fidusia"
"425216","Pendapatan Pelayanan Badan Hukum"
"425217","Pendapatan Pelayanan Jasa Hukum Lainnya"
"425218","Pendapatan Pelayanan Kekayaan Intelektual"
"425219","Pendapatan Pelayanan dan Administrasi Hukum Lainnya"
"425220","Pendapatan Pelayanan dan Administrasi Luar Negeri"
"425221","Pendapatan Visa Republik Indonesia di Luar Negeri"
"425222","Pendapatan Paspor Republik Indonesia di Luar Negeri"
"425223","Pendapatan Dokumen Kekonsuleran"
"425224","Pendapatan Jasa Pelayanan pada Kantor Dagang dan Ekonomi Indonesia di Luar Negeri"
"425228","Pendapatan Pelayanan Lainnya di Luar Negeri"
"425229","Pendapatan Administrasi di Luar Negeri"
"425230","Pendapatan Kejaksaan dan Peradilan serta Gratifikasi"
"425231","Pendapatan Pengesahan Surat di Bawah Tangan"
"425232","Pendapatan Uang Meja (Leges) dan Upah pada Panitera Badan Peradilan"
"425233","Pendapatan Ongkos Perkara"
"425234","Pendapatan Gratifikasi yang Ditetapkan KPK Menjadi Milik Negara"
"425235","Pendapatan Penjualan Hasil Lelang Gratifikasi"
"425236","Pendapatan Penjualan Barang Rampasan/Hasil Sitaan yang telah diputuskan/ditetapkan pengadilan"
"425237","Pendapatan Denda Pelanggaran Lalu Lintas"
"425238","Pendapatan Denda Hasil Tindak Pidana Lainnya"
"425239","Pendapatan Kejaksaan dan Peradilan Lainnya"
"425240","Pendapatan Kejaksaan dan Peradilan serta Hasil Tindak Pidana Korupsi dan Pencucian Uang"
"425241","Pendapatan Uang Sitaan Hasil Korupsi yang Telah Diputuskan/Ditetapkan Pengadilan"
"425242","Pendapatan Uang Sitaan Tindak Pidana Pencucian Uang yang Telah Diputuskan/Ditetapkan Pengadilan"
"425243","Pendapatan Uang Pengganti Tindak Pidana Korupsi yang Telah Diputuskan/Ditetapkan Pengadilan"
"425244","Pendapatan Penjualan Hasil Lelang Tindak Pidana Pencucian Uang"
"425245","Pendapatan Penjualan Hasil Lelang Tindak Pidana Korupsi"
"425246","Pendapatan Denda Hasil Tindak Pidana Korupsi"
"425247","Pendapatan Denda Hasil Tindak Pidana Pencucian Uang"
"425248","Pendapatan Hasil Pengembalian Uang Negara"
"425249","Pendapatan Uang Sitaan Tindak Pidana Lainnya yang Telah Diputuskan/Ditetapkan Pengadilan"
"425250","Pendapatan Perizinan"
"425251","Pendapatan Perizinan Tenaga Kerja Asing"
"425252","Pendapatan Perizinan Pertanian"
"425253","Pendapatan Perizinan di Bidang Perdagangan"
"425254","Pendapatan Perizinan di Bidang Kesehatan"
"425255","Pendapatan Perizinan di Bidang Lingkungan Hidup dan Kehutanan"
"425259","Pendapatan Perizinan Lainnya"
"425260","Pendapatan Pelayanan Kepolisian I"
"425261","Pendapatan Penerbitan Surat Izin Mengemudi (SIM)"
"425262","Pendapatan Perpanjangan Surat Izin Mengemudi (SIM)"
"425263","Pendapatan Surat Tanda Nomor Kendaraan (STNK)"
"425264","Pendapatan Surat Tanda Coba Kendaraan (STCK)"
"425265","Pendapatan Buku Pemilik Kendaraan Bermotor (BPKB)"
"425266","Pendapatan Tanda Nomor Kendaraan Bermotor (TNKB)"
"425267","Pendapatan Ujian Keterampilan Mengemudi"
"425268","Pendapatan Penerbitan Surat Mutasi Kendaraan Ke Luar Daerah"
"425269","Pendapatan Nomor Registrasi Kendaraan Bermotor Pilihan"
"425270","Pendapatan Pelayanan Kepolisian II"
"425271","Pendapatan Surat Tanda Nomor Kendaraan Bermotor Lintas Batas Negara"
"425272","Pendapatan Tanda Nomor Kendaraan Bermotor Lintas Batas Negara"
"425273","Pendapatan  Penerbitan Surat Ijin Senjata Api dan Bahan Peledak dan Penerbitan Surat Keterangan Catatan Kepolisian"
"425274","Pendapatan Surat Tanda Coba Kendaraan (STCK)"
"425275","Pendapatan Pelayanan Satuan Pengaman"
"425276","Pendapatan Pengamanan Obyek Vital"
"425279","Pendapatan Pelayanan Kepolisian Lainnya"
"425280","Pendapatan Akreditasi, Pengujian, Sertifikasi, Kalibrasi, dan Standardisasi"
"425281","Pendapatan Akreditasi"
"425282","Pendapatan Pengujian, Sertifikasi  dan Standardisasi di Bidang Lingkungan Hidup dan Kehutanan"
"425283","Pendapatan Pengujian, Sertifikasi, Kalibrasi, dan Standardisasi di Bidang Perindustrian"
"425284","Pendapatan Pengujian, Sertifikasi, Kalibrasi, dan Standardisasi di Bidang Perdagangan"
"425285","Pendapatan Pengujian, Sertifikasi, Kalibrasi, dan Standardisasi di Bidang Kesehatan"
"425286","Pendapatan Pengujian, Sertifikasi, Kalibrasi, dan Standardisasi di Bidang Pekerjaan Umum"
"425287","Pendapatan Pengujian, Sertifikasi dan Kalibrasi di Bidang Perhubungan"
